,ma_khach_hang,ngay_binh_luan,gio_binh_luan,ma_san_pham,word_pro3,so_sao,word_pro4,negative_words,negative_count,positive_words,positive_count,star_cleaned,joined_positive_words,joined_negative_words
0,443,29/04/2023,17:06,308500015,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
1,1030,30/04/2023,15:04,308500015,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
2,689,30/04/2023,18:34,422216594,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
3,2519,17/07/2022,13:48,204100075,khả_năng sạch tốt lớp mắt môi_chóng loại_bỏ bông_tẩy toàn_bộ bụi bẩn dầu_thừa lớp đi cực k tiết_kiệm kích_ứng sạch mà_còn dịu giúp ngứa_ngáy,5,khả năng sạch tốt lớp mắt môi chóng loại bỏ bông tẩy toàn bộ bụi bẩn dầu thừa lớp đi cực k tiết kiệm kích ứng sạch mà còn dịu giúp ngứa ngáy,[],0,['tốt'],1,5,tốt,
4,402,15/04/2023,23:04,422208977,tốt sạch mụn mịn,5,tốt sạch mụn mịn,[],0,"['tốt', 'mịn']",2,5,"tốt, mịn",
5,2517,25/12/2022,17:11,204100019,chân_ái tuyp thử nhờn khô_hở tí nổi mụn,5,chân ái tuyp thử nhờn khô hở tí nổi mụn,['nhờn'],1,['chân ái'],1,5,chân_ái,nhờn
6,1750,9/7/2022,4:34,100220035,bha obagi đổi thử_sài plc hasaki hàng kèm quà tặng quà trừ tiền,5,bha obagi đổi thử sài plc hasaki hàng kèm quà tặng quà trừ tiền,[],0,[],0,5,,
8,1817,5/2/2024,3:50,422216354,ứng không_hợp,4,ứng không hợp,['không hợp'],1,['hợp'],1,5,hợp,không_hợp
9,3556,12/9/2023,22:33,100250032,tư_vấn train đẹp á_hỏi dán mụn trả_lời tè không_như,5,tư vấn train đẹp á hỏi dán mụn trả lời tè không như,[],0,[],0,5,,
10,2375,29/04/2023,16:52,422205163,mùi thơm_dịu mát thư_giãn,5,mùi thơm dịu mát thư giãn,[],0,"['thơm', 'mát', 'thư giãn']",3,5,"thơm, mát, thư_giãn",
11,2027,24/10/2022,18:02,249500019,không_đánh_giá vụ nâng tông trắng lắm chỉnh tông chống nắng lót tốt_hợp kiểu đồ đi học đi tự_nhiên dày,5,không đánh giá vụ nâng tông trắng lắm chỉnh tông chống nắng lót tốt hợp kiểu đồ đi học đi tự nhiên dày,[],0,"['nâng tông', 'trắng', 'tốt', 'hợp']",4,5,"nâng_tông, trắng, tốt, hợp",
12,2928,27/03/2024,22:14,422209718,sánh bnbg ẩm không_tốt bnbg tốt tầm_giá dầu ẩm thoải_mái treat mặt_nạ,5,sánh bnbg ẩm không tốt bnbg tốt tầm giá dầu ẩm thoải mái treat mặt nạ,['không tốt'],1,"['tốt', 'tốt', 'thoải mái']",3,5,"tốt, tốt, thoải_mái",không_tốt
13,3059,19/12/2020,7:52,413400001,mỏng thấm tẩy toner nhũn liền tưa đáp_ứng cầu tốt,2,mỏng thấm tẩy toner nhũn liền tưa đáp ứng cầu tốt,[],0,['tốt'],1,1,tốt,
14,1118,22/06/2021,9:30,422204884,tốt_tẩy sạch thích nước_tẩy loreal innisfree mùi hóa_học không_bị châm chích trôi chùi sạch lợi,5,tốt tẩy sạch thích nước tẩy loreal innisfree mùi hóa học không bị châm chích trôi chùi sạch lợi,['châm chích'],1,"['tốt', 'tẩy sạch', 'thích']",3,5,"tốt, tẩy_sạch, thích",châm_chích
15,2273,17/12/2022,11:20,422208183,bết trắng,4,bết trắng,[],0,['trắng'],1,5,trắng,
16,736,5/12/2022,15:52,100230056,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
17,731,4/3/2023,19:08,100230056,kiểu tiền tẩy hàng,5,kiểu tiền tẩy hàng,[],0,[],0,5,,
18,4234,17/07/2023,23:05,422205637,rít đắp xomg rôid dưỡng đó_nhiên mask tốt_đắp không_bị kích_ứng,4,rít đắp xomg rôid dưỡng đó nhiên mask tốt đắp không bị kích ứng,[],0,['tốt'],1,5,tốt,
20,1806,8/12/2016,7:54,422216098,shop,5,shop,[],0,[],0,5,,
