,star_cleaned
8040,5
1720,5
150,5
12833,5
14239,5
14734,5
5070,5
3411,5
15547,5
221,5
6062,5
13911,5
6162,1
10194,5
10629,5
4974,5
12217,5
15542,5
16735,5
17874,5
5814,5
11647,5
803,5
15170,1
5642,5
11117,5
15654,5
2661,5
17185,5
1606,5
3024,5
17556,5
5199,5
13298,5
5436,5
3788,5
7132,5
18797,5
14229,5
1276,5
12186,5
6463,1
12399,5
3274,1
15506,5
13265,5
14445,5
4404,5
7554,5
2380,5
982,5
7934,5
14459,5
10742,5
4525,5
13102,1
17615,5
5026,5
14040,5
9584,5
18474,5
12794,5
9814,5
9478,5
17866,5
11980,5
15172,5
6108,5
14684,5
13668,5
3651,5
14877,5
1255,5
3315,1
3684,5
10277,5
10820,5
13316,1
18598,5
841,5
14740,5
2481,5
7613,5
13358,5
9060,1
14008,5
9723,5
7744,5
19326,5
2946,5
3223,5
17045,5
829,5
10815,5
1602,5
13078,5
7326,5
5683,5
3058,5
14057,5
18001,5
15529,5
11679,5
10615,5
10375,5
3503,5
4413,5
8211,5
13018,5
447,5
14922,5
4738,5
6066,5
13525,5
11225,5
6601,5
8359,5
8614,5
4896,5
3707,1
18368,5
6069,5
17502,5
18994,5
18741,5
5022,5
17187,5
13181,1
9409,5
4743,5
16601,1
18216,5
1921,5
12277,5
10330,5
11719,5
11192,5
15411,5
12166,5
6561,5
1358,5
11665,5
10461,5
3851,5
3449,5
3938,5
17839,5
17263,5
17811,5
11677,5
17386,5
15017,5
15356,5
14120,5
16718,5
7015,5
3607,5
15274,5
12461,5
18494,5
18320,5
12357,5
7477,5
1320,5
3974,5
12224,1
15219,5
12397,5
7007,5
8056,5
2084,5
3214,5
6916,5
11432,5
16963,5
168,5
4972,5
5980,5
12519,5
11067,5
12252,5
398,5
18266,5
9693,5
149,5
3069,1
12630,5
94,5
8909,5
15489,5
4315,5
12792,5
4351,5
12288,5
1496,5
18809,5
7221,5
8323,5
11709,5
19279,5
17419,5
19006,5
3746,1
4914,5
8807,5
5537,5
18842,5
1929,5
7215,5
7796,5
9382,5
1967,1
12250,5
1634,5
8317,5
9052,5
10819,5
19505,5
15311,5
15691,5
13260,5
8958,5
1479,5
14301,5
6705,5
1498,5
15359,5
16169,5
15415,1
8486,5
18650,1
6385,5
7284,5
15484,5
2688,5
1714,5
11249,5
9189,5
14463,5
4286,5
8674,5
3855,5
17486,5
4113,5
15262,5
19378,5
2715,5
16120,5
316,5
8294,5
13571,5
11165,5
6173,5
17790,5
14219,5
11742,5
5843,5
950,5
8957,1
4186,5
14697,5
30,5
14421,5
1639,5
15094,5
16828,5
11274,5
8769,5
12209,5
8930,5
16707,5
1965,5
7882,5
1584,5
2025,5
15472,5
11043,5
13282,5
6812,5
4978,5
14105,5
6586,5
2928,5
19284,5
16772,5
10679,5
6978,1
13088,5
9191,5
19340,5
1593,5
16218,5
700,5
13091,5
14800,5
8743,5
7030,5
18513,5
3995,5
1314,5
11399,5
764,5
8171,5
14510,5
18424,5
13685,5
13416,5
38,5
7570,5
1455,5
14234,5
12801,5
13476,1
2894,5
8064,5
6215,5
18751,5
1053,5
5118,5
7495,5
5601,5
6369,5
8413,5
7921,5
2807,5
6904,1
12963,5
304,5
7353,5
14619,5
11603,5
12085,5
11206,5
6110,5
8161,5
8049,5
511,5
18970,1
8642,5
6074,5
5343,5
18153,5
17573,1
7599,5
6534,5
750,5
11149,5
742,5
176,5
10739,5
7672,5
13624,5
14019,5
10031,5
13566,1
8072,5
7486,5
13739,5
381,5
14149,5
6714,1
5513,5
10146,5
7100,5
14202,5
19263,5
5224,5
6866,5
10556,1
12348,5
12385,5
984,5
439,1
7900,5
3781,5
